title,rating,votes,revenue (millions),metascore
la tortue rouge,7.6,11482,0.92,86.0
the book of life,7.3,50388,50.15,67.0
incendies,8.2,92863,6.86,80.0
the heartbreak kid,5.8,74664,36.77,46.0
happy feet,6.5,141141,197.99,77.0
entourage,6.6,64557,32.36,38.0
the strangers,6.2,96718,52.53,47.0
noah,5.8,209700,101.16,68.0
neighbors,6.4,236500,150.06,68.0
nymphomaniac: vol. ii,6.7,65824,0.33,60.0
wild,7.1,95553,37.88,76.0
grown ups,6.0,190385,162.0,30.0
blair witch,5.1,26088,20.75,47.0
the karate kid,6.2,127983,176.59,61.0
dark shadows,6.2,209326,79.71,55.0
friends with benefits,6.6,286543,55.8,63.0
the illusionist,7.6,309934,39.83,68.0
the a-team,6.8,219116,77.21,47.0
the guest,6.7,71069,0.32,76.0
the internship,6.3,166342,44.67,42.0
paul,7.0,201707,37.37,57.0
the da vinci code,6.6,338280,217.54,46.0
mr. church,7.7,16163,0.69,37.0
hugo,7.5,259182,73.82,83.0
the blackcoat's daughter,5.6,4155,0.02,68.0
body of lies,7.1,182305,39.38,57.0
knight of cups,5.7,17439,0.56,53.0
the mummy: tomb of the dragon emperor,5.2,124554,102.18,31.0
the boss,5.4,29642,63.03,40.0
hands of stone,6.6,8998,4.71,54.0
el secreto de sus ojos,8.2,144524,20.17,80.0
true grit,7.6,254904,171.03,80.0
we are your friends,6.2,25903,3.59,46.0
a million ways to die in the west,6.1,144779,42.62,44.0
ouija: origin of evil,6.1,30035,34.9,65.0
percy jackson: sea of monsters,5.9,91684,68.56,39.0
fracture,7.2,148943,39.0,68.0
oculus,6.5,92875,27.69,61.0
